technology_area,patent_count,percentage
Medical Science/Healthcare,362,25.1
Organic Chemistry,198,13.7
Other Technologies,176,12.2
Biochemistry/Biotechnology,148,10.3
Measuring/Testing/Sensing,146,10.1
Agriculture/Food,74,5.1
Computing/Data Processing/AI,59,4.1
Polymers/Macromolecular Chemistry,45,3.1
Materials/Metallurgy,41,2.8
Separation/Mixing/Chemical Processes,37,2.6
Communications/Networks/Wireless,36,2.5
Electrical Engineering,33,2.3
Nanotechnology,29,2
Physics/Optics,24,1.7
Information/Communication Technology,21,1.5
Transportation Technology,13,0.9
Environmental Technology,1,0.1
