university,patent_count,earliest_filing,latest_filing
Morehouse School of Medicine,218,3/20/2003,3/18/2025
Howard University,196,10/31/2008,4/22/2025
Florida A&M University,119,9/7/2004,3/13/2025
North Carolina A&T State University,100,11/27/2002,4/25/2025
Morgan State University,94,10/11/2012,10/10/2024
Xavier University of Louisiana,64,1/21/2005,9/20/2024
Meharry Medical College,61,4/4/2002,4/21/2025
Tuskegee University,54,7/7/2011,1/23/2024
North Carolina Central University,38,2/10/2006,4/30/2025
Hampton University,32,6/21/2001,6/27/2022
Clark Atlanta University,26,5/3/2007,10/7/2024
Jackson State University,21,7/23/2001,2/4/2025
Texas Southern University,20,12/26/2007,4/18/2024
Fayetteville State University,17,12/10/2009,9/27/2022
Delaware State University,16,10/4/2007,12/16/2024
University of the District of Columbia,7,4/8/2022,10/27/2023
Norfolk State University,6,12/11/2006,8/7/2019
University of Maryland Eastern Shore,6,3/6/2013,10/15/2020
Southern University and A&M College,5,5/19/2016,2/6/2024
Morehouse College,3,5/18/2015,3/12/2021
Bowie State University,3,4/29/2002,12/15/2022
